Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru
Kamil Grabara,POL,GK,26.0,Wolfsburg,GER-Bundesliga,3060,34.0,0,0,0.0,0.0,0,0,1,1,1,0,120.0,2.0,69.0,90,40,34.0,40.0
Kamil Uregen,TUR,DF,17.0,Fenerbahçe,TUR-Super Lig,45,0.5,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,100,34.0,70.44
Kamil Çörekçi,TUR,DF,33.0,Kasımpaşa,TUR-Super Lig,763,8.48,0,0,0.0,0.0,0,7,16,8,4,0,0.0,0.0,0.0,90,40,34.0,30.99
Kamory Doumbia,MLI,MF,22.0,Brest,FRA-Ligue 1,1750,19.44,5,4,0.26,0.21,14,20,30,20,6,0,0.0,0.0,0.0,85,40,34.0,34.86
Kaoru Mitoma,JPN,"MF,FW",28.0,Brighton,ENG-Premier League,1721,19.12,3,1,0.16,0.05,13,46,12,8,5,0,0.0,0.0,0.0,100,75,38.0,63.82
Karahan Yasir Subaşı,TUR,"DF,MF",29.0,Konyaspor,TUR-Super Lig,509,5.66,0,0,0.0,0.0,0,3,7,11,0,0,0.0,0.0,0.0,90,40,34.0,30.0
Karamba Gassama,GAM,"MF,FW",20.0,Gaziantep,TUR-Super Lig,560,6.22,0,1,0.0,0.16,4,8,6,6,0,0,0.0,0.0,0.0,90,40,34.0,30.2
Kareem Tunde,ESP,MF,19.0,Levante,ESP-La Liga,1133,12.59,0,1,0.0,0.08,3,11,11,14,3,0,0.0,0.0,0.0,95,40,38.0,31.98
Karim Adeyemi,GER,"MF,FW",23.0,Dortmund,GER-Bundesliga,1195,13.28,7,4,0.53,0.3,14,11,4,8,5,0,0.0,0.0,0.0,90,95,34.0,77.63
Karl Darlow,WAL,GK,34.0,Leeds United,ENG-Premier League,1980,22.0,0,0,0.0,0.0,0,0,0,0,1,0,63.0,5.0,27.0,100,40,38.0,34.95
Karl Etta Eyong,CMR,FW,21.0,Levante,ESP-La Liga,1672,18.58,7,4,0.38,0.22,24,13,13,6,3,0,0.0,0.0,0.0,95,40,38.0,33.87
Karl Jakob Hein,EST,GK,23.0,Werder Bremen,GER-Bundesliga,180,2.0,0,0,0.0,0.0,0,0,0,0,0,0,11.0,1.0,4.0,90,40,34.0,28.71
Karl-Johan Johnsson,SWE,GK,35.0,Strasbourg,FRA-Ligue 1,90,1.0,0,0,0.0,0.0,0,0,0,0,0,0,2.0,1.0,0.0,85,40,34.0,28.35
Karol Linetty,POL,MF,30.0,Kocaelispor,TUR-Super Lig,1521,16.9,0,2,0.0,0.12,10,51,15,18,7,0,0.0,0.0,0.0,90,40,34.0,33.96
Karol Mets,EST,DF,32.0,St Pauli,GER-Bundesliga,1932,21.47,1,0,0.05,0.0,1,6,22,22,3,0,0.0,0.0,0.0,90,40,34.0,35.58
Kartal Yılmaz,TUR,MF,24.0,Beşiktaş,TUR-Super Lig,518,5.76,0,1,0.0,0.17,1,18,8,7,2,0,0.0,0.0,0.0,90,100,34.0,75.08
Kassoum Ouattara,FRA,"MF,DF",20.0,Monaco,FRA-Ligue 1,967,10.74,0,3,0.0,0.28,0,50,19,19,3,0,0.0,0.0,0.0,85,70,34.0,55.63
Kauã Santos,BRA,GK,22.0,Frankfurt,GER-Bundesliga,1084,12.04,0,0,0.0,0.0,0,0,1,0,0,0,37.0,2.0,32.0,90,75,34.0,60.47
Kaye Furo,BEL,FW,18.0,Brentford,ENG-Premier League,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,40,38.0,28.0
Kayra Cihan,TUR,DF,17.0,Kayserispor,TUR-Super Lig,96,1.07,0,0,0.0,0.0,0,0,4,5,0,0,0.0,0.0,0.0,90,40,34.0,28.38
Kazeem Olaigbe,BEL,MF,22.0,Trabzonspor,TUR-Super Lig,2030,22.56,0,1,0.0,0.04,14,53,12,7,1,0,0.0,0.0,0.0,90,90,34.0,80.92
Kazımcan Karataş,TUR,DF,22.0,Başakşehir,TUR-Super Lig,1145,12.72,0,3,0.0,0.24,4,29,22,11,5,0,0.0,0.0,0.0,90,75,34.0,60.92
Kaïl Boudache,FRA,"MF,FW",19.0,Nice,FRA-Ligue 1,531,5.9,1,0,0.17,0.0,2,8,9,6,1,0,0.0,0.0,0.0,85,40,34.0,30.08
Keane Lewis-Potter,ENG,"DF,MF",24.0,Brentford,ENG-Premier League,1972,21.91,3,3,0.14,0.14,9,69,14,10,1,0,0.0,0.0,0.0,100,40,38.0,34.92
Keinan Davis,ENG,FW,27.0,Udinese,ITA-Serie A,2065,22.94,10,4,0.44,0.17,25,5,5,1,5,0,0.0,0.0,0.0,90,40,48.28,33.7
Keke Topp,GER,FW,21.0,Werder Bremen,GER-Bundesliga,638,7.09,1,1,0.14,0.14,3,5,5,1,4,0,0.0,0.0,0.0,90,40,34.0,30.5
Kelvin Amian,FRA,DF,27.0,Nantes,FRA-Ligue 1,1961,21.79,0,1,0.0,0.05,2,29,18,8,3,0,0.0,0.0,0.0,85,40,34.0,35.69
Kenan Yıldız,TUR,"MF,FW",20.0,Juventus,ITA-Serie A,2825,31.39,10,6,0.32,0.19,40,122,14,7,2,0,0.0,0.0,0.0,90,85,48.28,76.08
Kendry Páez,ECU,"MF,FW",18.0,Strasbourg,FRA-Ligue 1,424,4.71,1,0,0.21,0.0,4,18,4,3,0,0,0.0,0.0,0.0,85,40,34.0,29.66
Kenneth Paal,SUR,"DF,MF",28.0,Antalyaspor,TUR-Super Lig,2880,32.0,0,0,0.0,0.0,1,35,39,21,4,0,0.0,0.0,0.0,90,40,34.0,39.29
Kenneth Taylor,NED,MF,23.0,Lazio,ITA-Serie A,1394,15.49,3,2,0.19,0.13,6,9,11,9,5,0,0.0,0.0,0.0,90,75,48.28,59.72
Kenny Lala,MAD,DF,33.0,Brest,FRA-Ligue 1,2791,31.01,0,3,0.0,0.1,1,106,26,26,4,0,0.0,0.0,0.0,85,40,34.0,38.94
Kenny Quetant,FRA,FW,19.0,Le Havre,FRA-Ligue 1,372,4.13,1,0,0.24,0.0,2,1,0,1,1,0,0.0,0.0,0.0,85,40,34.0,29.46
Kenny Tete,NED,DF,29.0,Fulham,ENG-Premier League,1791,19.9,1,0,0.05,0.0,3,34,38,26,2,0,0.0,0.0,0.0,100,40,38.0,34.28
Kento Shiogai,JPN,MF,20.0,Wolfsburg,GER-Bundesliga,318,3.53,1,0,0.28,0.0,6,1,4,3,3,0,0.0,0.0,0.0,90,40,34.0,29.25
Kepa Arrizabalaga,ESP,GK,30.0,Arsenal,ENG-Premier League,90,1.0,0,0,0.0,0.0,0,0,0,0,0,0,2.0,0.0,1.0,100,95,38.0,67.25
Kerem Aktürkoğlu,TUR,"MF,FW",26.0,Fenerbahçe,TUR-Super Lig,1950,21.67,8,7,0.37,0.32,22,126,14,9,3,0,0.0,0.0,0.0,90,100,34.0,89.12
Kerem Demirbay,GER,MF,32.0,Eyüpspor,TUR-Super Lig,2172,24.13,1,0,0.04,0.0,8,116,39,26,9,2,0.0,0.0,0.0,90,40,34.0,36.52
Kerem Kayaarası,TUR,FW,19.0,Antalyaspor,TUR-Super Lig,2,0.02,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,90,40,34.0,28.01
Kervin Arriaga,HON,MF,27.0,Levante,ESP-La Liga,1532,17.02,3,3,0.18,0.18,6,5,26,14,8,1,0.0,0.0,0.0,95,40,38.0,33.37
