player,nation,pos,team,age,league,playing time_min,performance_gls,performance_ast,performance_crdy,performance_crdr,performance_tklw,performance_int,performance_crs,standard_sot,performance_saves,performance_ga,performance_cs
Achraf Hakimi,ma MAR,DF,PSG,26,FRA-Ligue 1,1375,2,2,3,1,13,11,43,9,,,
Adil Hamdani,fr FRA,MF,Lyon,16,FRA-Ligue 1,27,0,0,0,0,0,0,4,0,,,
Pierre-Yves Hamel,fr FRA,FW,Paris FC,31,FRA-Ligue 1,78,0,0,0,0,0,1,0,0,,,
Hilan Hamzaoui,fr FRA,DF,Marseille,19,FRA-Ligue 1,3,0,0,0,0,0,0,0,0,,,
Florent Hanin,dz ALG,"DF,MF",Angers,35,FRA-Ligue 1,865,0,0,0,0,8,13,26,0,,,
Hákon Haraldsson,is ISL,MF,Lille,22,FRA-Ligue 1,2460,8,2,6,0,15,12,75,17,,,
Hans Hateboer,nl NED,"DF,MF",Rennes,31,FRA-Ligue 1,22,0,0,0,0,0,0,0,0,,,
Hans Hateboer,nl NED,"DF,MF",Lyon,31,FRA-Ligue 1,740,0,0,0,1,10,10,22,1,,,
Kjetil Haug,no NOR,GK,Toulouse,27,FRA-Ligue 1,31,0,0,0,0,0,0,0,0,1,1,0
Gauthier Hein,fr FRA,"MF,FW",Metz,28,FRA-Ligue 1,2351,8,7,3,1,10,9,147,13,,,
Caio Henrique,br BRA,"DF,MF",Monaco,28,FRA-Ligue 1,1536,0,2,2,0,11,12,90,0,,,
Lucas Hernández,fr FRA,DF,PSG,29,FRA-Ligue 1,1747,0,3,4,0,14,21,16,3,,,
Santiago Hidalgo,ar ARG,"MF,FW",Toulouse,20,FRA-Ligue 1,1306,4,6,4,0,20,8,12,13,,,
Rémi Himbert,fr FRA,FW,Lyon,17,FRA-Ligue 1,131,1,0,0,0,3,0,2,1,,,
Lukáš Hrádecký,fi FIN,GK,Monaco,35,FRA-Ligue 1,1439,0,0,1,0,1,0,0,0,45,27,2
Kwon Hyeokkyu,kr KOR,MF,Nantes,24,FRA-Ligue 1,753,0,0,2,0,6,6,1,0,,,
Hong Hyunseok,kr KOR,MF,Nantes,26,FRA-Ligue 1,284,0,0,0,0,7,2,14,2,,,
Lucas Høgsberg,dk DEN,DF,Strasbourg,19,FRA-Ligue 1,1792,0,0,4,1,9,13,0,1,,,
Pierre Højbjerg,dk DEN,MF,Marseille,29,FRA-Ligue 1,2712,4,5,4,0,24,26,10,14,,,
Stanis Idumbo,be BEL,MF,Monaco,20,FRA-Ligue 1,171,1,1,0,0,3,0,1,2,,,
Hamza Igamane,ma MAR,FW,Lille,22,FRA-Ligue 1,432,5,1,2,0,4,2,5,9,,,
Jonathan Ikone,fr FRA,"MF,FW",Paris FC,27,FRA-Ligue 1,1100,3,1,2,0,15,5,7,6,,,
George Ilenikhena,ng NGA,FW,Monaco,18,FRA-Ligue 1,385,2,0,0,0,0,0,0,7,,,
Ciro Immobile,it ITA,FW,Paris FC,35,FRA-Ligue 1,705,2,2,2,0,0,1,3,5,,,
Jérémy Jacquet,fr FRA,DF,Rennes,20,FRA-Ligue 1,1671,0,0,6,1,17,22,0,3,,,
Mathis Jangeal,fr FRA,FW,PSG,17,FRA-Ligue 1,11,0,0,0,0,0,0,0,0,,,
Isak Jansson,se SWE,"FW,MF",Nice,23,FRA-Ligue 1,644,1,0,3,0,8,5,16,11,,,
Karl-Johan Johnsson,se SWE,GK,Strasbourg,35,FRA-Ligue 1,90,0,0,0,0,0,0,0,0,2,0,1
Abdulai Juma Bah,sl SLE,DF,Nice,19,FRA-Ligue 1,1958,0,0,7,0,18,30,0,2,,,
Hamed Junior Traorè,ci CIV,MF,Marseille,25,FRA-Ligue 1,619,2,1,1,0,7,5,33,6,,,
Mohamed Kaba,gn GUI,MF,Nantes,23,FRA-Ligue 1,918,0,2,2,0,15,14,2,6,,,
Justin-Noël Kalumba,fr FRA,"FW,MF",Angers,20,FRA-Ligue 1,224,0,0,0,0,3,1,15,0,,,
Warren Kamanzi,no NOR,MF,Toulouse,24,FRA-Ligue 1,870,1,1,1,0,11,7,12,2,,,
Bingourou Kamara,sn SEN,GK,Lorient,28,FRA-Ligue 1,270,0,0,0,0,0,0,0,0,8,8,1
Glen Kamara,fi FIN,MF,Rennes,29,FRA-Ligue 1,61,0,0,0,0,0,0,0,0,,,
Noham Kamara,fr FRA,DF,Lyon,18,FRA-Ligue 1,7,0,0,0,0,0,0,0,0,,,
Nouhoum Kamissoko,ml MLI,MF,Marseille,20,FRA-Ligue 1,24,0,0,0,0,1,0,0,0,,,
Lee Kang-in,kr KOR,"MF,FW",PSG,24,FRA-Ligue 1,1519,3,4,3,0,9,1,113,15,,,
Steeve Kango,fr FRA,DF,Lyon,18,FRA-Ligue 1,80,0,0,0,0,1,0,7,0,,,
Ibrahim Kanté,fr FRA,MF,Brest,18,FRA-Ligue 1,9,0,0,0,0,0,0,0,0,,,
Adam Karabec,cz CZE,"MF,FW",Lyon,22,FRA-Ligue 1,922,1,0,3,0,3,1,80,5,,,
Dermane Karim,tg TOG,MF,Lorient,21,FRA-Ligue 1,1365,1,2,3,0,17,10,17,2,,,
Panos Katseris,gr GRE,"MF,DF",Lorient,24,FRA-Ligue 1,747,1,2,3,0,9,11,43,4,,,
Ilan Kebbal,dz ALG,"MF,FW",Paris FC,27,FRA-Ligue 1,2222,9,4,7,0,15,7,110,20,,,
Yassine Kechta,ma MAR,MF,Le Havre,23,FRA-Ligue 1,1332,2,1,3,0,18,18,26,9,,,
Thilo Kehrer,de GER,DF,Monaco,28,FRA-Ligue 1,2353,0,0,8,2,39,31,5,1,,,
Reda Khadra,de GER,FW,Le Havre,24,FRA-Ligue 1,229,0,0,0,0,4,0,20,3,,,
Ruben Kluivert,nl NED,DF,Lyon,24,FRA-Ligue 1,772,1,2,4,0,10,8,1,1,,,
Hervé Koffi,bf BFA,GK,Angers,28,FRA-Ligue 1,2658,0,0,1,0,2,0,0,0,120,36,10
Enzo Koffi Vinette,fr FRA,DF,Le Havre,19,FRA-Ligue 1,385,0,0,2,0,10,10,24,2,,,
Philipp Köhn,ch SUI,GK,Monaco,27,FRA-Ligue 1,1621,0,0,1,0,0,1,0,0,48,27,5
Luca Koleosho,it ITA,MF,Paris FC,20,FRA-Ligue 1,554,3,1,0,0,15,3,15,10,,,
Timothée Kolodziejczak,fr FRA,DF,Paris FC,33,FRA-Ligue 1,662,0,0,2,0,6,7,0,1,,,
Geoffrey Kondogbia,cf CTA,"MF,DF",Marseille,32,FRA-Ligue 1,587,0,0,3,0,9,11,1,1,,,
Koffi Kouao,ci CIV,"DF,MF",Metz,27,FRA-Ligue 1,2265,2,1,10,0,46,28,59,10,,,
Arsène Kouassi,bf BFA,MF,Lorient,20,FRA-Ligue 1,2605,2,6,4,0,18,24,119,5,,,
Seny Koumbassa,fr FRA,DF,Toulouse,18,FRA-Ligue 1,444,1,0,0,0,6,4,0,1,,,
Hamza Koutoune,ma MAR,DF,Nice,18,FRA-Ligue 1,1,0,0,0,0,0,0,1,0,,,
Goduine Koyalipou,cf CTA,FW,Angers,25,FRA-Ligue 1,668,2,1,0,0,2,1,3,9,,,
Jean-Philippe Krasso,ci CIV,FW,Paris FC,28,FRA-Ligue 1,1092,2,2,0,0,8,1,4,10,,,
Sael Kumbedi,fr FRA,DF,Lyon,20,FRA-Ligue 1,65,0,0,1,0,0,1,1,0,,,
Khvicha Kvaratskhelia,ge GEO,FW,PSG,24,FRA-Ligue 1,1479,8,4,1,0,13,10,43,29,,,
Giorgi Kvilitaia,ge GEO,FW,Metz,31,FRA-Ligue 1,495,2,0,1,0,6,0,0,7,,,
Godson Kyeremeh,fr FRA,FW,Le Havre,25,FRA-Ligue 1,381,1,1,0,0,6,0,15,2,,,
Rémy Labeau Lascary,gp GLP,"MF,FW",Brest,22,FRA-Ligue 1,1200,5,1,2,0,11,4,12,16,,,
Emmanuel Lago,ci CIV,FW,Marseille,20,FRA-Ligue 1,49,0,0,1,0,3,1,1,2,,,
Mayckel Lahdo,se SWE,"FW,MF",Nantes,22,FRA-Ligue 1,415,1,1,0,0,2,0,1,1,,,
Kenny Lala,mg MAD,DF,Brest,33,FRA-Ligue 1,2791,0,3,4,0,26,26,106,1,,,
Ugo Lamare,fr FRA,FW,Marseille,18,FRA-Ligue 1,17,0,0,0,0,0,0,0,0,,,
Théo Le Bris,fr FRA,MF,Lorient,22,FRA-Ligue 1,1893,2,2,0,0,28,17,81,7,,,
Julien Le Cardinal,fr FRA,DF,Brest,27,FRA-Ligue 1,328,1,0,1,0,5,3,0,2,,,
Raphael Le Guen,fr FRA,DF,Brest,18,FRA-Ligue 1,375,0,0,0,0,3,11,0,1,,,
Pierre Lees-Melou,fr FRA,MF,Brest,32,FRA-Ligue 1,180,0,0,0,0,4,0,5,0,,,
Pierre Lees-Melou,fr FRA,MF,Paris FC,32,FRA-Ligue 1,1782,1,3,7,1,35,20,13,6,,,
Jordan Lefort,mr MTN,DF,Angers,31,FRA-Ligue 1,3060,0,2,2,0,33,47,23,2,,,
Alexander Legendre,ec ECU,MF,Rennes,17,FRA-Ligue 1,45,0,0,0,0,0,0,3,0,,,
Félix Lemaréchal,fr FRA,"MF,FW",Strasbourg,21,FRA-Ligue 1,555,0,2,1,0,6,3,15,2,,,
Donovan Léon,gf GUF,GK,Auxerre,32,FRA-Ligue 1,2460,0,0,1,2,2,0,0,0,95,35,9
Esteban Lepaul,fr FRA,FW,Angers,25,FRA-Ligue 1,174,1,0,0,0,0,0,0,1,,,
Esteban Lepaul,fr FRA,FW,Rennes,25,FRA-Ligue 1,2511,20,5,3,0,5,3,17,37,,,
Johann Lepenant,fr FRA,MF,Nantes,22,FRA-Ligue 1,2173,0,1,4,0,47,26,73,7,,,
Louis Leroux,fr FRA,"MF,DF",Nantes,19,FRA-Ligue 1,1441,1,1,2,0,23,5,30,3,,,
Pol Lirola,es ESP,"DF,MF",Marseille,27,FRA-Ligue 1,34,0,0,0,0,0,1,2,0,,,
Gautier Lloris,fr FRA,DF,Le Havre,30,FRA-Ligue 1,2398,1,1,2,1,24,43,2,4,,,
Danny Loader,cm CMR,"MF,FW",Auxerre,24,FRA-Ligue 1,2517,3,3,9,0,25,9,32,17,,,
Bradley Locko,fr FRA,DF,Brest,23,FRA-Ligue 1,1286,0,2,0,0,28,10,34,1,,,
Anthony Lopes,pt POR,GK,Nantes,34,FRA-Ligue 1,2788,0,0,4,0,1,1,0,0,97,50,6
Julien López,dz ALG,"FW,MF",Paris FC,33,FRA-Ligue 1,45,0,0,0,0,0,1,1,0,,,
Maxime Lopez,fr FRA,MF,Paris FC,27,FRA-Ligue 1,1960,0,3,11,0,17,11,83,6,,,
Tom Louchet,fr FRA,MF,Nice,22,FRA-Ligue 1,1367,3,2,1,1,17,9,51,6,,,
Marius Louer,fr FRA,DF,Angers,18,FRA-Ligue 1,543,0,0,1,0,16,2,9,0,,,
Dimitri Lucea,fr FRA,DF,PSG,18,FRA-Ligue 1,60,0,0,0,0,2,2,0,0,,,
Deiver Machado,co COL,MF,Lens,31,FRA-Ligue 1,273,0,0,1,0,1,3,4,1,,,
Deiver Machado,co COL,"DF,MF",Nantes,31,FRA-Ligue 1,907,0,1,2,0,16,8,22,1,,,
Lanroy Machine,fr FRA,FW,Angers,19,FRA-Ligue 1,519,1,0,1,0,4,0,5,4,,,
Brian Madjo,lu LUX,FW,Metz,16,FRA-Ligue 1,157,0,0,0,0,0,0,0,1,,,
Hugo Magnetti,fr FRA,MF,Brest,27,FRA-Ligue 1,2688,1,1,4,1,45,44,26,5,,,
Frank Magri,cm CMR,"FW,MF",Toulouse,25,FRA-Ligue 1,1253,5,1,3,0,3,3,15,12,,,
Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,27,FRA-Ligue 1,2483,1,4,7,1,36,33,44,7,,,
Radosław Majecki,pl POL,GK,Brest,25,FRA-Ligue 1,864,0,0,0,1,0,0,0,0,26,18,3
Hamidou Makalou,ml MLI,MF,Brest,19,FRA-Ligue 1,341,0,0,0,0,5,5,14,1,,,
Jean-Victor Makengo,fr FRA,MF,Lorient,27,FRA-Ligue 1,1800,4,2,2,0,16,14,18,14,,,
Pape Mamadou Sy,sn SEN,GK,Metz,28,FRA-Ligue 1,706,0,0,0,0,0,0,0,0,29,20,2
Felix Mambimbi,ch SUI,"FW,MF",Le Havre,24,FRA-Ligue 1,530,1,0,1,0,10,4,5,2,,,
Aïssa Mandi,dz ALG,DF,Lille,33,FRA-Ligue 1,2424,1,0,8,0,21,44,10,4,,,
Orel Mangala,be BEL,MF,Lyon,27,FRA-Ligue 1,414,0,0,0,0,5,5,3,1,,,
Brad Mantsounga,cg CGO,DF,Nice,17,FRA-Ligue 1,90,0,0,0,0,3,0,0,0,,,
Sekou Mara,fr FRA,FW,Auxerre,23,FRA-Ligue 1,1226,3,2,0,0,7,3,0,12,,,
Vincent Marchetti,fr FRA,MF,Paris FC,28,FRA-Ligue 1,825,2,1,1,0,13,5,1,7,,,
Renato Marin,it ITA,GK,PSG,19,FRA-Ligue 1,180,0,0,0,0,0,0,0,0,3,2,1
Marquinhos,br BRA,DF,PSG,31,FRA-Ligue 1,1052,0,0,0,0,9,7,3,0,,,
Arthur Masuaku,cd COD,"DF,MF",Lens,31,FRA-Ligue 1,227,0,0,1,0,3,1,7,1,,,
Clinton Mata,ao ANG,DF,Lyon,32,FRA-Ligue 1,2833,0,0,5,0,21,26,20,0,,,
Rudy Matondo,fr FRA,MF,Paris FC,17,FRA-Ligue 1,743,2,0,1,1,14,5,8,5,,,
Rudy Matondo,fr FRA,MF,Auxerre,17,FRA-Ligue 1,614,0,0,3,0,7,7,5,0,,,
Neal Maupay,fr FRA,"FW,MF",Marseille,28,FRA-Ligue 1,2,0,0,0,0,0,0,0,0,,,
Christian Mawissa,fr FRA,"DF,MF",Monaco,20,FRA-Ligue 1,1191,0,0,4,0,25,15,5,1,,,
Senny Mayulu,fr FRA,"MF,FW",PSG,19,FRA-Ligue 1,1672,4,4,3,0,31,12,27,11,,,
Nathan Mbala,,"MF,FW",Metz,17,FRA-Ligue 1,441,2,2,0,0,6,1,36,4,,,
Ethan Mbappé,fr FRA,"MF,FW",Lille,18,FRA-Ligue 1,567,3,1,1,0,7,2,34,7,,,
Ibrahim Mbaye,sn SEN,"FW,MF",PSG,17,FRA-Ligue 1,1006,3,2,0,0,7,4,16,10,,,
Malick Mbaye,sn SEN,MF,Metz,21,FRA-Ligue 1,300,0,0,1,0,8,3,8,1,,,
Chancel Mbemba,cd COD,DF,Lille,30,FRA-Ligue 1,954,0,0,3,0,8,13,0,3,,,
Michel Mboula,ga GAB,"DF,MF",Metz,22,FRA-Ligue 1,746,0,0,2,0,10,15,8,1,,,
Pathé Mboup,sn SEN,MF,Brest,21,FRA-Ligue 1,1054,1,0,6,0,18,12,11,10,,,
Moustapha Mbow,sn SEN,DF,Paris FC,25,FRA-Ligue 1,2717,0,1,5,0,33,38,2,3,,,
Mark McKenzie,us USA,DF,Toulouse,26,FRA-Ligue 1,2404,0,2,7,1,30,25,4,1,,,
Facundo Medina,ar ARG,DF,Marseille,26,FRA-Ligue 1,1365,0,1,7,0,16,24,13,1,,,
Bamo Meïté,ci CIV,DF,Lorient,23,FRA-Ligue 1,1979,0,3,5,0,15,13,12,1,,,
Kader Meïté,fr FRA,FW,Rennes,17,FRA-Ligue 1,535,3,2,0,0,2,1,3,7,,,
Cléo Melieres,fr FRA,FW,Metz,20,FRA-Ligue 1,31,0,0,1,0,0,0,3,0,,,
Nuno Mendes,pt POR,DF,PSG,23,FRA-Ligue 1,1256,4,5,1,0,20,14,44,15,,,
Antoine Mendy,sn SEN,DF,Nice,21,FRA-Ligue 1,2097,1,0,5,0,35,19,21,7,,,
Formose Mendy,sn SEN,DF,Lorient,24,FRA-Ligue 1,135,0,0,1,0,1,3,1,0,,,
Gideon Mensah,gh GHA,DF,Auxerre,27,FRA-Ligue 1,2327,0,2,8,0,37,23,64,0,,,
Khalis Merah,fr FRA,"MF,FW",Lyon,18,FRA-Ligue 1,1130,0,1,2,0,19,6,13,3,,,
Quentin Merlin,fr FRA,"DF,MF",Rennes,23,FRA-Ligue 1,2533,1,5,2,0,38,29,156,7,,,
Rafik Messali,fr FRA,MF,Toulouse,22,FRA-Ligue 1,502,0,0,2,0,6,12,9,0,,,
Dayann Methalie,fr FRA,MF,Toulouse,19,FRA-Ligue 1,1871,2,1,9,0,30,23,43,7,,,
Thomas Meunier,be BEL,DF,Lille,33,FRA-Ligue 1,1909,2,2,3,0,18,17,51,5,,,
Lucas Michal,fr FRA,FW,Monaco,20,FRA-Ligue 1,59,0,0,0,0,0,0,3,0,,,
Lucas Michal,fr FRA,MF,Metz,20,FRA-Ligue 1,212,0,0,1,0,0,0,1,2,,,
Georges Mikautadze,ge GEO,FW,Lyon,24,FRA-Ligue 1,179,1,0,0,0,0,1,0,4,,,
Takumi Minamino,jp JPN,MF,Monaco,30,FRA-Ligue 1,944,3,2,4,0,3,3,8,7,,,
Tadjidine Mmadi,fr FRA,FW,Marseille,18,FRA-Ligue 1,45,0,0,0,0,1,2,2,0,,,
Terem Moffi,ng NGA,FW,Nice,26,FRA-Ligue 1,488,2,0,0,0,1,0,0,8,,,
Mostafa Mohamed,eg EGY,FW,Nantes,27,FRA-Ligue 1,1152,4,0,1,0,7,7,9,8,,,
Enzo Molebe,fr FRA,FW,Lyon,17,FRA-Ligue 1,10,0,0,0,0,0,0,0,0,,,
Afonso Moreira,pt POR,"MF,FW",Lyon,20,FRA-Ligue 1,1722,4,7,3,0,22,12,119,14,,,
Diego Moreira,be BEL,MF,Strasbourg,20,FRA-Ligue 1,2034,4,6,4,0,25,20,89,11,,,
Tyler Morton,eng ENG,MF,Lyon,22,FRA-Ligue 1,2517,2,2,6,1,29,24,83,8,,,
Daren Mosengo,fr FRA,MF,Le Havre,18,FRA-Ligue 1,108,0,0,0,0,0,1,0,0,,,
Pierre Mounguengue,fr FRA,FW,PSG,17,FRA-Ligue 1,16,0,0,0,0,0,0,0,1,,,
Samir El Mourabet,ma MAR,MF,Strasbourg,19,FRA-Ligue 1,2128,1,2,4,0,37,27,18,1,,,
Louis Mouton,fr FRA,MF,Angers,23,FRA-Ligue 1,1891,2,1,2,1,26,12,31,8,,,
Lionel Mpasi,cd COD,GK,Le Havre,30,FRA-Ligue 1,315,0,0,1,0,0,0,0,0,15,2,1
Ngal'Ayel Mukau,cd COD,MF,Lille,20,FRA-Ligue 1,1534,1,0,3,0,18,14,5,5,,,
Nordan Mukiele,fr FRA,MF,Rennes,19,FRA-Ligue 1,96,1,0,0,0,0,0,2,1,,,
Marshall Munetsi,zw ZIM,MF,Paris FC,29,FRA-Ligue 1,975,4,1,0,0,8,3,0,9,,,
Believe Munongo,fr FRA,MF,Metz,15,FRA-Ligue 1,431,0,0,1,0,7,6,2,1,,,
Yvon Mvogo,ch SUI,GK,Lorient,31,FRA-Ligue 1,2790,0,0,0,0,1,1,0,0,76,43,6
Joel Mvuka,no NOR,"MF,DF",Lorient,22,FRA-Ligue 1,560,0,0,0,0,13,6,12,1,,,
Junior Mwanga,fr FRA,"DF,MF",Strasbourg,22,FRA-Ligue 1,377,0,0,0,0,8,1,4,0,,,
Junior Mwanga,fr FRA,MF,Nantes,22,FRA-Ligue 1,1260,1,1,2,1,14,8,5,3,,,
Bilal Nadir,ma MAR,MF,Marseille,21,FRA-Ligue 1,598,0,4,6,1,9,6,10,1,,,
Mahamadou Nagida,cm CMR,DF,Rennes,20,FRA-Ligue 1,805,0,0,2,0,12,20,20,3,,,
Younes Namli,dk DEN,"FW,MF",Le Havre,31,FRA-Ligue 1,327,0,1,2,0,5,5,21,0,,,
Sebastian Nanasi,se SWE,MF,Strasbourg,23,FRA-Ligue 1,1050,7,2,0,0,4,5,24,11,,,
Noah Nartey,dk DEN,"MF,FW",Lyon,19,FRA-Ligue 1,545,2,0,0,0,6,2,5,2,,,
Youssouf Ndayishimiye,bi BDI,MF,Nice,26,FRA-Ligue 1,72,0,0,0,1,0,2,0,0,,,
Rassoul Ndiaye,sn SEN,MF,Le Havre,23,FRA-Ligue 1,2566,4,4,2,0,32,17,92,9,,,
Quentin Ndjantou,fr FRA,MF,PSG,18,FRA-Ligue 1,360,1,1,1,0,1,2,4,3,,,
Tanguy Ndombele,fr FRA,MF,Nice,28,FRA-Ligue 1,275,0,1,0,0,1,1,1,1,,,
Joseph Nduquidi,fr FRA,MF,Metz,20,FRA-Ligue 1,7,0,0,0,0,0,0,1,0,,,
Loïc Nego,hu HUN,"DF,MF",Le Havre,34,FRA-Ligue 1,2339,0,0,3,0,36,32,78,3,,,
João Neves,pt POR,MF,PSG,20,FRA-Ligue 1,1287,5,1,0,0,14,6,4,6,,,
Mikayil Ngor Faye,sn SEN,MF,Rennes,21,FRA-Ligue 1,8,0,0,0,0,0,0,0,0,,,
Nathan Ngoy,be BEL,DF,Lille,22,FRA-Ligue 1,2405,1,2,10,1,21,38,6,6,,,
Bernard Nguene,cm CMR,FW,Nice,18,FRA-Ligue 1,138,0,0,1,0,1,3,1,0,,,
Moussa Niakhaté,sn SEN,DF,Lyon,29,FRA-Ligue 1,2759,0,2,3,0,22,32,6,0,,,
Samuel Nibombé,be BEL,DF,Monaco,17,FRA-Ligue 1,1,0,0,0,0,0,0,0,0,,,
Rasmus Nicolaisen,dk DEN,DF,Toulouse,28,FRA-Ligue 1,2564,1,0,4,0,16,40,2,5,,,
Obed Nkambadio,fr FRA,GK,Paris FC,22,FRA-Ligue 1,1080,0,0,0,0,0,0,0,0,26,21,1
Tochukwu Nnadi,ng NGA,"MF,DF",Marseille,22,FRA-Ligue 1,351,0,1,1,0,3,3,6,1,,,
Martin Nogoto Bley,bf BFA,MF,Lorient,19,FRA-Ligue 1,1,0,0,0,0,0,0,0,0,,,
Arnaud Nordin,fr FRA,"FW,MF",Rennes,27,FRA-Ligue 1,570,1,2,1,0,6,0,18,5,,,
Tyrese Noubissié,fr FRA,MF,Strasbourg,16,FRA-Ligue 1,58,0,0,1,0,0,2,1,0,,,
Noah Nsoki,fr FRA,MF,PSG,18,FRA-Ligue 1,8,0,0,0,0,1,0,0,0,,,
Ernest Nuamah,gh GHA,"FW,MF",Lyon,21,FRA-Ligue 1,35,0,0,0,0,0,0,2,0,,,
Ethan Nwaneri,eng ENG,MF,Marseille,18,FRA-Ligue 1,324,2,1,1,0,1,3,9,3,,,
Rabby Nzingoula,fr FRA,MF,Strasbourg,19,FRA-Ligue 1,51,0,0,0,1,1,1,2,0,,,
Matt O'Riley,dk DEN,MF,Marseille,24,FRA-Ligue 1,741,1,2,2,0,8,6,7,3,,,
Noam Obougou Jacquet,fr FRA,FW,Le Havre,19,FRA-Ligue 1,104,1,0,0,0,0,1,2,3,,,
Bryan Okoh,ch SUI,DF,Auxerre,22,FRA-Ligue 1,1005,3,0,2,0,9,26,0,3,,,
Tuomas Ollila,fi FIN,DF,Paris FC,25,FRA-Ligue 1,308,0,0,0,0,1,4,9,1,,,
Andrew Omobamidele,ie IRL,DF,Strasbourg,23,FRA-Ligue 1,1357,1,0,4,0,4,16,0,3,,,
Fredrik Oppegard,no NOR,"MF,DF",Auxerre,22,FRA-Ligue 1,1246,0,0,1,1,20,14,48,2,,,
Gabriel Osho,ng NGA,DF,Auxerre,26,FRA-Ligue 1,134,0,0,0,0,3,0,2,0,,,
Ibrahim Osman,gh GHA,"MF,FW",Auxerre,20,FRA-Ligue 1,625,0,2,0,0,7,6,10,6,,,
Abdoul Ouattara,fr FRA,"MF,DF",Strasbourg,19,FRA-Ligue 1,1768,2,0,2,0,13,20,19,11,,,
Kassoum Ouattara,fr FRA,"MF,DF",Monaco,20,FRA-Ligue 1,967,0,3,3,0,19,19,50,0,,,
Elisha Owusu,gh GHA,MF,Auxerre,27,FRA-Ligue 1,2344,0,0,7,0,51,21,1,0,,,
Max Oyedele,pl POL,"MF,DF",Strasbourg,20,FRA-Ligue 1,446,1,0,3,0,8,5,0,1,,,
Berke Özer,tr TUR,GK,Lille,25,FRA-Ligue 1,2834,0,1,5,0,2,0,0,0,70,34,13
Willian Pacho,ec ECU,DF,PSG,23,FRA-Ligue 1,1914,0,0,0,0,26,26,0,1,,,
Kendry Páez,ec ECU,"MF,FW",Strasbourg,18,FRA-Ligue 1,424,1,0,0,0,4,3,18,4,,,
Pablo Pagis,fr FRA,"MF,FW",Lorient,22,FRA-Ligue 1,1756,10,5,1,0,17,18,99,19,,,
Igor Paixão,br BRA,MF,Marseille,25,FRA-Ligue 1,1975,6,5,3,0,12,17,57,23,,,
Emerson Palmieri,it ITA,"DF,MF",Marseille,30,FRA-Ligue 1,2114,0,3,3,0,32,33,122,2,,,
Jahyann Pandore,fr FRA,MF,Metz,17,FRA-Ligue 1,88,1,0,0,0,4,0,3,1,,,
Joaquín Panichelli,ar ARG,FW,Strasbourg,22,FRA-Ligue 1,2193,16,1,3,0,10,13,0,31,,,
Benjamin Pavard,fr FRA,DF,Marseille,29,FRA-Ligue 1,1928,1,2,6,0,12,24,17,3,,,
Timothee Pembele,fr FRA,"MF,DF",Le Havre,22,FRA-Ligue 1,381,0,0,1,0,5,3,6,2,,,
Mike Penders,be BEL,GK,Strasbourg,20,FRA-Ligue 1,2970,0,0,3,0,0,0,0,0,107,47,8
Kojo Peprah Oppong,gh GHA,DF,Nice,21,FRA-Ligue 1,2425,1,0,4,0,28,30,5,3,,,
Everton Pereira,fr FRA,MF,Nice,18,FRA-Ligue 1,135,0,0,0,0,0,3,0,0,,,
Romain Perraud,fr FRA,DF,Lille,27,FRA-Ligue 1,2241,3,4,4,1,31,23,127,12,,,
Gaëtan Perrin,fr FRA,"MF,FW",Lille,29,FRA-Ligue 1,338,1,0,2,0,8,2,35,4,,,
Prosper Peter,ng NGA,FW,Angers,17,FRA-Ligue 1,1273,5,0,0,0,3,4,0,14,,,
Damián Pizarro,cl CHI,FW,Le Havre,20,FRA-Ligue 1,28,0,0,0,0,0,0,0,0,,,
Paul Pogba,fr FRA,MF,Monaco,32,FRA-Ligue 1,119,0,0,0,0,3,1,1,0,,,
Oumar Pona,fr FRA,GK,Angers,19,FRA-Ligue 1,180,0,0,1,0,0,0,0,0,6,7,0
Kenny Quetant,fr FRA,FW,Le Havre,19,FRA-Ligue 1,372,1,0,1,0,0,1,1,2,,,
Adrien Rabiot,fr FRA,MF,Marseille,30,FRA-Ligue 1,90,0,0,1,0,0,0,9,0,,,
Uroš Radaković,rs SRB,DF,Nantes,31,FRA-Ligue 1,101,0,0,0,0,2,4,0,0,,,
Ugo Raghouber,fr FRA,MF,Lille,22,FRA-Ligue 1,3,0,0,0,0,0,0,0,0,,,
Gonçalo Ramos,pt POR,FW,PSG,24,FRA-Ligue 1,1318,6,1,4,1,14,5,1,25,,,
Lilian Raolisoa,fr FRA,"MF,DF",Angers,25,FRA-Ligue 1,1966,2,4,3,0,31,14,99,5,,,
Guillaume Restes,fr FRA,GK,Toulouse,20,FRA-Ligue 1,2939,0,0,3,0,0,1,0,0,84,45,9
Alexsandro Ribeiro,br BRA,DF,Lille,25,FRA-Ligue 1,509,0,0,0,1,9,11,1,2,,,
Fabian Rieder,ch SUI,MF,Rennes,23,FRA-Ligue 1,133,0,0,0,0,2,2,1,0,,,
Robin Risser,fr FRA,GK,Lens,20,FRA-Ligue 1,2970,0,1,2,0,0,0,0,0,76,35,11
Ryan Rodin,fr FRA,MF,Auxerre,19,FRA-Ligue 1,26,0,0,0,0,0,0,0,0,,,
Valentin Rongier,fr FRA,MF,Rennes,30,FRA-Ligue 1,2745,2,5,6,0,48,36,21,10,,,
Pablo Rosario,do DOM,"DF,MF",Nice,28,FRA-Ligue 1,28,0,0,0,0,0,0,0,1,,,
