player,nation,pos,team,age,league,playing time_min,performance_gls,performance_ast,performance_crdy,performance_crdr,performance_tklw,performance_int,performance_crs,standard_sot,performance_saves,performance_ga,performance_cs
Lovro Majer,hr CRO,MF,Wolfsburg,27,GER-Bundesliga,1371,2,3,5,0,18,8,28,6,,,
Jordy Makengo,fr FRA,DF,Freiburg,23,GER-Bundesliga,1178,0,1,1,0,10,14,32,0,,,
Andrija Maksimović,rs SRB,FW,RB Leipzig,18,GER-Bundesliga,93,0,0,0,0,0,0,2,0,,,
Said El Mala,de GER,"FW,MF",Köln,18,GER-Bundesliga,1956,13,4,4,0,14,8,39,30,,,
Julián Malatini,ar ARG,DF,Werder Bremen,24,GER-Bundesliga,516,0,0,3,0,6,6,5,0,,,
Lennard Maloney,us USA,"DF,MF",Mainz 05,25,GER-Bundesliga,485,0,0,1,0,8,8,2,1,,,
Filippo Mane,it ITA,DF,Dortmund,20,GER-Bundesliga,131,0,0,0,1,0,2,1,0,,,
Johan Manzambi,ch SUI,MF,Freiburg,19,GER-Bundesliga,2077,5,4,4,2,14,27,35,13,,,
Eric Martel,de GER,"MF,DF",Köln,23,GER-Bundesliga,2559,2,2,12,1,32,35,11,4,,,
Han-Noah Massengo,fr FRA,MF,Augsburg,24,GER-Bundesliga,2427,2,1,5,0,18,36,17,6,,,
Igor Matanović,hr CRO,FW,Freiburg,22,GER-Bundesliga,1571,11,2,0,0,11,9,0,19,,,
Chrislain Matsima,fr FRA,DF,Augsburg,23,GER-Bundesliga,1489,1,1,5,0,11,30,4,1,,,
Jean Mattéo Bahoya,fr FRA,"MF,FW",Frankfurt,20,GER-Bundesliga,1331,3,4,2,0,14,12,33,9,,,
Ibrahim Maza,dz ALG,MF,Leverkusen,19,GER-Bundesliga,1849,3,4,2,0,24,16,64,17,,,
Samuel Mbangula,be BEL,"MF,FW",Werder Bremen,21,GER-Bundesliga,1171,3,2,0,0,10,3,23,8,,,
Jonas Meffert,de GER,MF,Hamburger SV,30,GER-Bundesliga,145,0,0,0,0,3,1,0,0,,,
Connor Metcalfe,au AUS,"MF,FW",St Pauli,25,GER-Bundesliga,592,0,2,2,0,9,6,24,4,,,
Karol Mets,ee EST,DF,St Pauli,32,GER-Bundesliga,1932,1,0,3,0,22,22,6,1,,,
Wisdom Mike,de GER,FW,Bayern Munich,16,GER-Bundesliga,30,0,0,0,0,0,1,1,1,,,
William Mikelbrencis,fr FRA,"MF,DF",Hamburger SV,21,GER-Bundesliga,1372,0,4,3,0,22,6,54,6,,,
Jovan Milošević,rs SRB,FW,Werder Bremen,20,GER-Bundesliga,488,3,1,2,0,2,0,3,4,,,
Kim Min-jae,kr KOR,DF,Bayern Munich,28,GER-Bundesliga,1602,1,1,1,0,19,38,1,3,,,
Maximilian Mittelstädt,de GER,"DF,MF",Stuttgart,28,GER-Bundesliga,2186,6,4,4,0,42,35,122,16,,,
