Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Jozhua Vertrouwd,NED,DF,20.0,Rayo Vallecano,ESP-La Liga,446,4.96,0,0,0.0,0.0,0,0,3,4,0,0,0.0,0.0,0.0,95,40,38.0,29.57,Zor
João Camacho,POR,MF,31.0,Karagümrük,TUR-Super Lig,319,3.54,0,0,0.0,0.0,2,8,1,3,1,0,0.0,0.0,0.0,90,40,34.0,29.25,Zor
João Cancelo,POR,DF,31.0,Barcelona,ESP-La Liga,954,10.6,2,2,0.19,0.19,4,31,19,11,1,0,0.0,0.0,0.0,95,100,38.0,78.37,Orta
João Gomes,BRA,MF,24.0,Wolves,ENG-Premier League,2829,31.43,1,1,0.03,0.03,7,31,68,36,10,0,0.0,0.0,0.0,100,40,38.0,37.93,Zor
João Mendes,POR,MF,30.0,Kayserispor,TUR-Super Lig,1502,16.69,0,4,0.0,0.24,3,58,8,7,4,1,0.0,0.0,0.0,90,40,34.0,33.89,Zor
João Mário,POR,MF,32.0,Beşiktaş,TUR-Super Lig,106,1.18,0,0,0.0,0.0,1,3,2,0,0,0,0.0,0.0,0.0,90,100,34.0,71.04,Zor
João Mário Lopes,POR,"DF,MF",25.0,Bologna,ITA-Serie A,993,11.03,1,0,0.09,0.0,2,20,7,13,2,0,0.0,0.0,0.0,90,40,48.28,30.74,Zor
João Neves,POR,MF,20.0,PSG,FRA-Ligue 1,1287,14.3,5,1,0.35,0.07,6,4,14,6,0,0,0.0,0.0,0.0,85,100,34.0,82.62,Orta
João Palhinha,POR,MF,30.0,Tottenham,ENG-Premier League,2198,24.42,5,2,0.2,0.08,9,4,61,28,8,0,0.0,0.0,0.0,100,80,38.0,71.42,Zor
João Pedro,BRA,"FW,MF",23.0,Chelsea,ENG-Premier League,2661,29.57,15,5,0.51,0.17,28,18,17,6,5,0,0.0,0.0,0.0,100,80,38.0,74.68,Zor
Joél Drakes-Thomas,ENG,MF,16.0,Crystal Palace,ENG-Premier League,9,0.1,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,100,70,38.0,49.06,Zor
Joël Piroe,SUR,FW,25.0,Leeds United,ENG-Premier League,258,2.87,0,0,0.0,0.0,3,4,1,1,0,0,0.0,0.0,0.0,100,40,38.0,28.91,Zor
Joël Schmied,SUI,DF,26.0,Köln,GER-Bundesliga,1078,11.98,0,0,0.0,0.0,0,5,9,11,5,0,0.0,0.0,0.0,90,40,34.0,32.23,Zor
Joël Veltman,NED,DF,33.0,Brighton,ENG-Premier League,1058,11.76,1,0,0.09,0.0,1,18,17,19,5,0,0.0,0.0,0.0,100,75,38.0,59.46,Zor
Joško Gvardiol,CRO,DF,23.0,Manchester City,ENG-Premier League,1372,15.24,2,2,0.13,0.13,6,2,13,16,2,0,0.0,0.0,0.0,100,100,38.0,82.03,Orta
Juan Arango,VEN,MF,19.0,Girona,ESP-La Liga,18,0.2,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,95,75,38.0,52.62,Zor
Juan Arizala,COL,MF,19.0,Udinese,ITA-Serie A,191,2.12,0,0,0.0,0.0,1,6,3,1,0,0,0.0,0.0,0.0,90,40,48.28,28.53,Zor
Juan Cruz Armada,ESP,DF,33.0,Osasuna,ESP-La Liga,649,7.21,0,0,0.0,0.0,0,5,3,4,2,0,0.0,0.0,0.0,95,40,38.0,30.28,Zor
Juan Cuadrado,COL,MF,37.0,Pisa,ITA-Serie A,506,5.62,1,0,0.18,0.0,2,45,10,5,3,0,0.0,0.0,0.0,90,40,48.28,29.4,Zor
Juan David Cabal,COL,MF,24.0,Juventus,ITA-Serie A,296,3.29,2,0,0.61,0.0,2,4,5,4,1,0,0.0,0.0,0.0,90,85,48.28,61.24,Zor
Juan Foyth,ARG,DF,27.0,Villarreal,ESP-La Liga,934,10.38,0,0,0.0,0.0,0,0,13,15,2,0,0.0,0.0,0.0,95,75,38.0,58.65,Zor
Juan Jesus,BRA,DF,34.0,Napoli,ITA-Serie A,1675,18.61,0,0,0.0,0.0,0,1,22,26,10,1,0.0,0.0,0.0,90,90,48.28,73.41,Zor
Juan Miranda,ESP,DF,25.0,Bologna,ITA-Serie A,2573,28.59,1,3,0.03,0.1,5,171,31,33,6,0,0.0,0.0,0.0,90,40,48.28,35.11,Zor
Juan Musso,ARG,GK,31.0,Atlético Madrid,ESP-La Liga,720,8.0,0,0,0.0,0.0,0,0,0,0,2,0,22.0,3.0,13.0,95,92,38.0,70.21,Zor
Juan Rodríguez,URU,DF,20.0,Cagliari,ITA-Serie A,1310,14.56,1,0,0.07,0.0,2,5,27,17,3,0,0.0,0.0,0.0,90,40,48.28,31.62,Zor
Juan Santos,BRA,FW,23.0,Göztepe,TUR-Super Lig,2571,28.57,11,4,0.39,0.14,30,27,17,8,6,1,0.0,0.0,0.0,90,40,34.0,38.08,Zor
Juanlu Sánchez,ESP,"MF,DF",21.0,Sevilla,ESP-La Liga,1990,22.11,0,3,0.0,0.14,1,59,42,11,6,1,0.0,0.0,0.0,95,40,38.0,34.98,Zor
Juanmi,ESP,"FW,MF",32.0,Getafe,ESP-La Liga,179,1.99,1,0,0.5,0.0,1,0,0,0,0,0,0.0,0.0,0.0,95,40,38.0,28.63,Zor
Jude Bellingham,ENG,MF,22.0,Real Madrid,ESP-La Liga,1916,21.29,6,4,0.28,0.19,26,16,37,14,3,0,0.0,0.0,0.0,95,100,38.0,86.81,Kolay
Julen Agirrezabala,ESP,GK,24.0,Valencia,ESP-La Liga,1620,18.0,0,0,0.0,0.0,0,0,1,0,1,0,52.0,4.0,30.0,95,40,38.0,33.68,Zor
Jules Koundé,FRA,DF,26.0,Barcelona,ESP-La Liga,2261,25.12,1,3,0.04,0.12,4,40,24,31,6,0,0.0,0.0,0.0,95,100,38.0,89.83,Kolay
Julian Brandt,GER,"MF,FW",29.0,Dortmund,GER-Bundesliga,1606,17.84,7,4,0.39,0.22,18,25,8,5,0,0,0.0,0.0,0.0,90,95,34.0,81.45,Orta
Julian Chabot,GER,DF,27.0,Stuttgart,GER-Bundesliga,2294,25.49,0,0,0.0,0.0,7,1,20,40,3,0,0.0,0.0,0.0,90,75,34.0,69.37,Zor
Julian Niehues,GER,MF,24.0,Heidenheim,GER-Bundesliga,1383,15.37,3,0,0.2,0.0,5,3,10,23,1,0,0.0,0.0,0.0,90,40,34.0,33.42,Zor
Julian Ryerson,NOR,MF,27.0,Dortmund,GER-Bundesliga,2266,25.18,0,15,0.0,0.6,1,250,21,12,8,0,0.0,0.0,0.0,90,95,34.0,87.61,Kolay
