Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani
Sebastiano Luperto,ITA,DF,28.0,Cagliari,ITA-Serie A,3013,33.48,1,1,0.03,0.03,5,11,21,31,4,0,0.0,0.0,0.0,90,40
Sebastián Boselli,URU,DF,21.0,Getafe,ESP-La Liga,380,4.22,0,0,0.0,0.0,1,8,13,0,4,0,0.0,0.0,0.0,95,40
Seko Fofana,CIV,MF,30.0,Rennes,FRA-Ligue 1,655,7.28,1,0,0.14,0.0,3,7,2,3,0,0,0.0,0.0,0.0,85,40
Sekou Koita,MLI,"MF,FW",25.0,Gençlerbirliği,TUR-Super Lig,1719,19.1,6,0,0.31,0.0,14,13,14,7,3,2,0.0,0.0,0.0,90,40
Sekou Mara,FRA,FW,23.0,Auxerre,FRA-Ligue 1,1226,13.62,3,2,0.22,0.15,12,0,7,3,0,0,0.0,0.0,0.0,85,40
Selton Sánchez,ESP,MF,18.0,Athletic Club,ESP-La Liga,196,2.18,0,1,0.0,0.46,1,0,2,1,0,0,0.0,0.0,0.0,95,75
Semih Güler,TUR,DF,30.0,Kayserispor,TUR-Super Lig,2148,23.87,0,0,0.0,0.0,2,5,33,32,3,0,0.0,0.0,0.0,90,40
Semih Kılıçsoy,TUR,FW,19.0,Cagliari,ITA-Serie A,975,10.83,4,0,0.37,0.0,8,1,4,1,1,0,0.0,0.0,0.0,90,40
Senne Lammens,BEL,GK,23.0,Manchester Utd,ENG-Premier League,2880,32.0,0,0,0.0,0.0,0,0,1,0,0,0,78.0,8.0,39.0,100,85
Senne Lynen,BEL,MF,26.0,Werder Bremen,GER-Bundesliga,2752,30.58,0,0,0.0,0.0,4,14,33,77,4,0,0.0,0.0,0.0,90,40
Senny Mayulu,FRA,"MF,FW",19.0,PSG,FRA-Ligue 1,1672,18.58,4,4,0.22,0.22,11,27,31,12,3,0,0.0,0.0,0.0,85,100
Seny Koumbassa,FRA,DF,18.0,Toulouse,FRA-Ligue 1,444,4.93,1,0,0.2,0.0,1,0,6,4,0,0,0.0,0.0,0.0,85,40
Sepp van den Berg,NED,DF,23.0,Brentford,ENG-Premier League,2763,30.7,0,2,0.0,0.07,7,0,9,26,2,0,0.0,0.0,0.0,100,40
Serdar Dursun,TUR,FW,33.0,Kocaelispor,TUR-Super Lig,1531,17.01,6,2,0.35,0.12,11,2,4,0,3,0,0.0,0.0,0.0,90,40
Serdar Gürler,TUR,"MF,DF",33.0,Eyüpspor,TUR-Super Lig,1281,14.23,0,0,0.0,0.0,6,32,11,10,2,0,0.0,0.0,0.0,90,40
Serdar Saatçı,TUR,DF,22.0,Trabzonspor,TUR-Super Lig,186,2.07,0,0,0.0,0.0,0,0,2,0,0,0,0.0,0.0,0.0,90,90
Serge Gnabry,GER,MF,30.0,Bayern Munich,GER-Bundesliga,1219,13.54,8,6,0.59,0.44,17,21,10,4,1,0,0.0,0.0,0.0,90,100
Sergi Altimira,ESP,MF,23.0,Real Betis,ESP-La Liga,1186,13.18,1,2,0.08,0.15,3,3,36,20,3,0,0.0,0.0,0.0,95,40
Sergi Cardona,ESP,DF,26.0,Villarreal,ESP-La Liga,1970,21.89,1,4,0.05,0.18,5,75,31,37,4,0,0.0,0.0,0.0,95,75
Sergi Darder,ESP,MF,31.0,Mallorca,ESP-La Liga,2680,29.78,1,5,0.03,0.17,13,165,13,23,3,0,0.0,0.0,0.0,95,40
Sergi Roberto,ESP,MF,33.0,Como,ITA-Serie A,544,6.04,0,0,0.0,0.0,2,2,7,5,3,0,0.0,0.0,0.0,90,40
Serginho,BRA,"MF,FW",30.0,Karagümrük,TUR-Super Lig,2180,24.22,8,1,0.33,0.04,15,26,27,6,2,0,0.0,0.0,0.0,90,40
Sergio Camello,ESP,"FW,MF",24.0,Rayo Vallecano,ESP-La Liga,823,9.14,5,1,0.55,0.11,14,3,8,4,3,1,0.0,0.0,0.0,95,40
Sergio Carreira,ESP,MF,24.0,Celta Vigo,ESP-La Liga,2694,29.93,2,1,0.07,0.03,7,32,18,27,2,0,0.0,0.0,0.0,95,40
Sergio Gómez,ESP,DF,24.0,Real Sociedad,ESP-La Liga,2701,30.01,0,6,0.0,0.2,0,153,53,32,5,1,0.0,0.0,0.0,95,75
Sergio Herrera,ESP,GK,32.0,Osasuna,ESP-La Liga,3284,36.49,0,0,0.0,0.0,0,0,0,0,3,1,113.0,7.0,47.0,95,40
Sergio Lozano,ESP,MF,26.0,Levante,ESP-La Liga,12,0.13,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,95,40
Serhat Öztaşdelen,TUR,GK,20.0,Kocaelispor,TUR-Super Lig,630,7.0,0,0,0.0,0.0,0,0,0,0,0,0,17.0,1.0,6.0,90,40
Serhou Guirassy,GUI,FW,29.0,Dortmund,GER-Bundesliga,2337,25.97,17,1,0.65,0.04,40,4,1,0,3,0,0.0,0.0,0.0,90,95
Serkan Terzi,TUR,DF,21.0,Beşiktaş,TUR-Super Lig,21,0.23,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,100
Seydou Fini,ITA,FW,19.0,Genoa,ITA-Serie A,32,0.36,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,90,40
Seyfettin Anıl Yaşar,TUR,DF,23.0,Eyüpspor,TUR-Super Lig,355,3.94,0,0,0.0,0.0,1,0,6,7,1,1,0.0,0.0,0.0,90,40
Shafiq Nandja,GER,DF,18.0,Hamburger SV,GER-Bundesliga,15,0.17,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40
Shavy Babicka,GAB,"MF,FW",25.0,Karagümrük,TUR-Super Lig,856,9.51,1,1,0.11,0.11,4,7,7,5,0,0,0.0,0.0,0.0,90,40
Shea Lacey,ENG,FW,18.0,Manchester Utd,ENG-Premier League,43,0.48,0,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,100,85
Sheraldo Becker,SUR,"FW,MF",30.0,Mainz 05,ESP-La Liga,1104,12.27,3,3,0.24,0.24,15,42,1,6,2,0,0.0,0.0,0.0,95,40
Show,ANG,MF,26.0,Kocaelispor,TUR-Super Lig,2316,25.73,0,0,0.0,0.0,2,4,30,25,12,1,0.0,0.0,0.0,90,40
Shumaira Mheuka,ENG,FW,17.0,Chelsea,ENG-Premier League,2,0.02,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,80
Shuto Machino,JPN,"FW,MF",25.0,Gladbach,GER-Bundesliga,1076,11.96,3,1,0.25,0.08,11,10,5,3,2,0,0.0,0.0,0.0,90,40
Sidiki Cherif,FRA,"FW,MF",18.0,Angers,FRA-Ligue 1,1804,20.04,6,0,0.3,0.0,20,16,6,7,3,0,0.0,0.0,0.0,85,40
Silas Katompa,COD,FW,26.0,Mainz 05,GER-Bundesliga,334,3.71,1,0,0.27,0.0,7,11,0,0,1,0,0.0,0.0,0.0,90,40
Silvan Widmer,SUI,MF,32.0,Mainz 05,GER-Bundesliga,1810,20.11,2,1,0.1,0.05,4,37,27,18,5,0,0.0,0.0,0.0,90,40
Simon Adingra,CIV,"MF,FW",23.0,Monaco,ENG-Premier League,1508,16.76,4,2,0.24,0.12,8,56,17,8,2,0,0.0,0.0,0.0,100,70
Simon Ebonog,CMR,MF,20.0,Le Havre,FRA-Ligue 1,1759,19.54,1,0,0.05,0.0,4,16,21,24,8,0,0.0,0.0,0.0,85,40
Simon Sohm,SUI,MF,24.0,Bologna,ITA-Serie A,1425,15.83,0,1,0.0,0.06,1,7,12,9,3,0,0.0,0.0,0.0,90,40
Simone Canestrelli,ITA,DF,24.0,Pisa,ITA-Serie A,3201,35.57,1,0,0.03,0.0,3,12,25,33,4,0,0.0,0.0,0.0,90,40
Simone Lottici Tessadri,ITA,MF,19.0,Cremonese,ITA-Serie A,6,0.07,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40
Simone Perilli,ITA,GK,30.0,Hellas Verona,ITA-Serie A,270,3.0,0,0,0.0,0.0,0,0,0,0,0,0,8.0,1.0,7.0,90,40
Simone Scuffet,ITA,GK,29.0,Pisa,ITA-Serie A,630,7.0,0,0,0.0,0.0,0,0,0,0,0,0,14.0,1.0,15.0,90,40
Sinaly Diomande,CIV,DF,24.0,Auxerre,FRA-Ligue 1,2131,23.68,2,2,0.08,0.08,4,0,17,33,4,1,0.0,0.0,0.0,85,40
Sinan Osmanoğlu,TUR,DF,35.0,Gençlerbirliği,TUR-Super Lig,70,0.78,0,0,0.0,0.0,1,0,3,2,0,0,0.0,0.0,0.0,90,40
Sirlord Conteh,GER,"MF,FW",29.0,Heidenheim,GER-Bundesliga,625,6.94,2,1,0.29,0.14,3,17,7,4,1,0,0.0,0.0,0.0,90,40
Skelly Alvero,FRA,MF,23.0,Werder Bremen,GER-Bundesliga,34,0.38,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,90,40
Sofiane Boufal,MAR,"MF,FW",31.0,Le Havre,FRA-Ligue 1,1019,11.32,1,4,0.09,0.35,4,59,17,3,2,0,0.0,0.0,0.0,85,40
Sofiane Diop,MAR,"MF,FW",25.0,Nice,FRA-Ligue 1,2130,23.67,8,2,0.34,0.08,17,37,9,18,5,0,0.0,0.0,0.0,85,40
Sofyan Amrabat,MAR,MF,28.0,Real Betis,ESP-La Liga,1392,15.47,0,0,0.0,0.0,1,8,13,13,4,0,0.0,0.0,0.0,95,40
Sokratis Dioudis,GRE,GK,32.0,Gaziantep,TUR-Super Lig,24,0.27,0,0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,90,40
Solly March,ENG,MF,31.0,Brighton,ENG-Premier League,41,0.46,0,0,0.0,0.0,1,4,2,0,0,0,0.0,0.0,0.0,100,75
Soner Aydoğdu,TUR,MF,34.0,Samsunspor,TUR-Super Lig,105,1.17,0,0,0.0,0.0,0,7,2,0,0,0,0.0,0.0,0.0,90,40
Soner Dikmen,TUR,MF,31.0,Antalyaspor,TUR-Super Lig,2148,23.87,4,0,0.17,0.0,10,14,16,28,9,0,0.0,0.0,0.0,90,40
Soner Gönül,TUR,"DF,MF",28.0,Samsunspor,TUR-Super Lig,814,9.04,0,0,0.0,0.0,3,57,7,4,4,0,0.0,0.0,0.0,90,40
Soriba Diaoune,FRA,MF,17.0,Lille,FRA-Ligue 1,185,2.06,1,1,0.49,0.49,4,5,2,1,0,0,0.0,0.0,0.0,85,70
Sota Kawasaki,JPN,"MF,DF",24.0,Mainz 05,GER-Bundesliga,309,3.43,0,0,0.0,0.0,0,3,5,3,1,0,0.0,0.0,0.0,90,40
Souleymane Touré,FRA,DF,22.0,Lorient,FRA-Ligue 1,29,0.32,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,85,40
Soumaïla Coulibaly,FRA,DF,21.0,Brest,FRA-Ligue 1,1338,14.87,0,0,0.0,0.0,2,1,12,13,3,0,0.0,0.0,0.0,85,40
Soungoutou Magassa,FRA,MF,21.0,West Ham,ENG-Premier League,981,10.9,1,0,0.09,0.0,2,9,23,17,4,0,0.0,0.0,0.0,100,40
Souza,BRA,MF,19.0,Tottenham,ENG-Premier League,144,1.6,0,0,0.0,0.0,1,3,0,2,1,0,0.0,0.0,0.0,100,80
Stanis Idumbo,BEL,MF,20.0,Monaco,ESP-La Liga,216,2.4,1,1,0.42,0.42,2,1,3,0,0,0,0.0,0.0,0.0,95,70
Stanislav Lobotka,SVK,MF,30.0,Napoli,ITA-Serie A,2431,27.01,1,1,0.04,0.04,4,5,16,16,3,0,0.0,0.0,0.0,90,90
Stanley N'Soki,FRA,"DF,MF",26.0,Union Berlin,GER-Bundesliga,816,9.07,1,2,0.11,0.22,1,12,9,18,2,0,0.0,0.0,0.0,90,40
Steeve Kango,FRA,DF,18.0,Lyon,FRA-Ligue 1,80,0.89,0,0,0.0,0.0,0,7,1,0,0,0,0.0,0.0,0.0,85,70
Stefan Bell,GER,DF,33.0,Mainz 05,GER-Bundesliga,1039,11.54,2,1,0.17,0.09,5,1,6,19,4,0,0.0,0.0,0.0,90,40
Stefan Ortega,GER,GK,32.0,Nottingham,ENG-Premier League,270,3.0,0,0,0.0,0.0,0,0,0,0,0,0,8.0,1.0,4.0,100,40
Stefan Posch,AUT,DF,28.0,Mainz 05,ITA-Serie A,1788,19.87,1,0,0.05,0.0,6,21,25,25,5,0,0.0,0.0,0.0,90,40
Stefan Savić,MNE,DF,34.0,Trabzonspor,TUR-Super Lig,1756,19.51,1,1,0.05,0.05,2,3,8,21,3,0,0.0,0.0,0.0,90,90
Stefan Schimmer,GER,FW,31.0,Heidenheim,GER-Bundesliga,820,9.11,5,1,0.55,0.11,12,10,4,4,1,0,0.0,0.0,0.0,90,40
Stefan de Vrij,NED,DF,33.0,Inter,ITA-Serie A,670,7.44,0,0,0.0,0.0,2,0,12,7,1,0,0.0,0.0,0.0,90,95
Stefano Denswil,SUR,DF,32.0,Kayserispor,TUR-Super Lig,2721,30.23,1,0,0.03,0.0,2,5,14,25,3,0,0.0,0.0,0.0,90,40
Stefano Moreo,ITA,"FW,MF",32.0,Pisa,ITA-Serie A,2307,25.63,7,1,0.27,0.04,20,28,11,21,2,0,0.0,0.0,0.0,90,40
Stefano Sabelli,ITA,"MF,DF",32.0,Genoa,ITA-Serie A,913,10.14,0,0,0.0,0.0,0,27,14,3,0,0,0.0,0.0,0.0,90,40
Stefano Turati,ITA,GK,23.0,Sassuolo,ITA-Serie A,532,5.91,0,0,0.0,0.0,0,0,0,1,0,0,15.0,2.0,7.0,90,40
Stefanos Tzimas,GRE,FW,19.0,Brighton,ENG-Premier League,139,1.54,1,1,0.65,0.65,1,1,1,0,0,0,0.0,0.0,0.0,100,75
Stephan El Shaarawy,ITA,"MF,FW",32.0,Roma,ITA-Serie A,666,7.4,1,2,0.14,0.27,7,16,7,6,4,0,0.0,0.0,0.0,90,75
Stephan Zagadou,FRA,DF,16.0,Le Havre,FRA-Ligue 1,495,5.5,1,0,0.18,0.0,1,0,5,1,0,1,0.0,0.0,0.0,85,40
Steve Mounié,BEN,FW,30.0,Alanyaspor,TUR-Super Lig,710,7.89,2,0,0.25,0.0,8,2,4,1,4,0,0.0,0.0,0.0,90,40
Stole Dimitrievski,MKD,GK,31.0,Valencia,ESP-La Liga,1800,20.0,0,0,0.0,0.0,0,0,0,1,1,0,52.0,5.0,25.0,95,40
Strahinja Pavlović,SRB,DF,24.0,Milan,ITA-Serie A,2869,31.88,5,1,0.16,0.03,6,15,26,20,4,0,0.0,0.0,0.0,90,80
Suat Serdar,GER,MF,28.0,Hellas Verona,ITA-Serie A,1108,12.31,2,0,0.16,0.0,7,7,20,10,3,0,0.0,0.0,0.0,90,40
Sven Botman,NED,DF,25.0,Newcastle,ENG-Premier League,1835,20.39,1,1,0.05,0.05,4,2,14,25,2,0,0.0,0.0,0.0,100,75
Sven Ulreich,GER,GK,36.0,Bayern Munich,GER-Bundesliga,90,1.0,0,0,0.0,0.0,0,0,0,0,1,0,6.0,0.0,1.0,90,100
Svit Sešlar,SVN,"MF,FW",23.0,Eyüpspor,TUR-Super Lig,555,6.17,1,1,0.16,0.16,3,8,5,6,0,0,0.0,0.0,0.0,90,40
Sávio,BRA,MF,21.0,Manchester City,ENG-Premier League,833,9.26,1,1,0.11,0.11,11,40,5,5,2,0,0.0,0.0,0.0,100,100
Séamus Coleman,IRL,DF,36.0,Everton,ENG-Premier League,21,0.23,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,100,40
Sékou Doucoure,FRA,DF,20.0,Nantes,FRA-Ligue 1,45,0.5,0,0,0.0,0.0,0,0,0,3,0,0,0.0,0.0,0.0,85,40
Sérigné Diop,SEN,FW,20.0,Brest,FRA-Ligue 1,12,0.13,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,85,40
Tadjidine Mmadi,FRA,FW,18.0,Marseille,FRA-Ligue 1,45,0.5,0,0,0.0,0.0,0,2,1,2,0,0,0.0,0.0,0.0,85,70
Taha Altıkardeş,TUR,DF,21.0,Göztepe,TUR-Super Lig,1383,15.37,1,0,0.07,0.0,3,14,13,29,0,0,0.0,0.0,0.0,90,40
Taha Emre İnce,TUR,DF,18.0,Trabzonspor,TUR-Super Lig,11,0.12,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,90
Tahsin Bülbül,TUR,MF,19.0,Samsunspor,TUR-Super Lig,84,0.93,0,0,0.0,0.0,0,2,1,1,1,0,0.0,0.0,0.0,90,40
Taichi Hara,JPN,FW,26.0,St Pauli,GER-Bundesliga,27,0.3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40
Taiwo Awoniyi,NGA,FW,27.0,Nottingham,ENG-Premier League,494,5.49,4,1,0.73,0.18,8,1,1,1,2,0,0.0,0.0,0.0,100,40
Tajon Buchanan,CAN,MF,26.0,Villarreal,ESP-La Liga,1819,20.21,7,1,0.35,0.05,11,33,19,22,8,0,0.0,0.0,0.0,95,75
Takefusa Kubo,JPN,MF,24.0,Real Sociedad,ESP-La Liga,1503,16.7,2,4,0.12,0.24,12,39,18,10,2,0,0.0,0.0,0.0,95,75
Takuma Asano,JPN,"MF,FW",30.0,Mallorca,ESP-La Liga,664,7.38,1,0,0.14,0.0,2,14,10,1,2,0,0.0,0.0,0.0,95,40
Takumi Minamino,JPN,MF,30.0,Monaco,FRA-Ligue 1,944,10.49,3,2,0.29,0.19,7,8,3,3,4,0,0.0,0.0,0.0,85,70
Talha Sarıarslan,TUR,FW,21.0,Kayserispor,TUR-Super Lig,164,1.82,2,2,1.1,1.1,3,0,3,1,1,0,0.0,0.0,0.0,90,40
Talha Ulvan,BEL,DF,24.0,Eyüpspor,TUR-Super Lig,1112,12.36,2,0,0.16,0.0,5,38,22,15,3,0,0.0,0.0,0.0,90,40
Talisca,BRA,"MF,FW",31.0,Fenerbahçe,TUR-Super Lig,1944,21.6,19,4,0.88,0.19,48,12,4,8,2,0,0.0,0.0,0.0,90,100
Tammy Abraham,ENG,FW,27.0,Beşiktaş,ENG-Premier League,1533,17.03,9,1,0.53,0.06,19,5,3,6,3,0,0.0,0.0,0.0,100,100
Tanguy Coulibaly,FRA,MF,24.0,Samsunspor,TUR-Super Lig,741,8.23,2,0,0.24,0.0,7,13,12,3,4,0,0.0,0.0,0.0,90,40
Tanguy Ndombele,FRA,MF,28.0,Nice,FRA-Ligue 1,275,3.06,0,1,0.0,0.33,1,1,1,1,0,0,0.0,0.0,0.0,85,40
Tanguy Nianzou,FRA,DF,23.0,Sevilla,ESP-La Liga,655,7.28,0,0,0.0,0.0,0,0,10,4,5,1,0.0,0.0,0.0,95,40
Tani Oluwaseyi,CAN,FW,25.0,Villarreal,ESP-La Liga,901,10.01,2,2,0.2,0.2,7,3,5,1,1,0,0.0,0.0,0.0,95,75
Tanner Tessmann,USA,MF,23.0,Lyon,FRA-Ligue 1,1953,21.7,1,0,0.05,0.0,8,17,21,13,2,0,0.0,0.0,0.0,85,70
Taras Stepanenko,UKR,MF,35.0,Eyüpspor,TUR-Super Lig,528,5.87,0,0,0.0,0.0,1,1,12,7,3,0,0.0,0.0,0.0,90,40
Tarik Muharemovic,BIH,DF,22.0,Sassuolo,ITA-Serie A,2835,31.5,2,2,0.06,0.06,7,2,24,45,7,0,0.0,0.0,0.0,90,40
Tariq Lamptey,GHA,MF,24.0,Fiorentina,ITA-Serie A,25,0.28,0,0,0.0,0.0,0,1,2,0,0,0,0.0,0.0,0.0,90,40
Tarkan Serbest,TUR,MF,31.0,Kocaelispor,TUR-Super Lig,239,2.66,0,0,0.0,0.0,0,0,0,3,0,0,0.0,0.0,0.0,90,40
Tarık Kalpaklı,TUR,MF,16.0,Karagümrük,TUR-Super Lig,280,3.11,0,0,0.0,0.0,1,2,4,1,1,0,0.0,0.0,0.0,90,40
Tarık Çetin,TUR,GK,28.0,Fenerbahçe,TUR-Super Lig,180,2.0,0,0,0.0,0.0,0,0,0,0,1,0,9.0,1.0,1.0,90,100
Taufik Seidu,ESP,MF,17.0,Atlético Madrid,ESP-La Liga,23,0.26,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,95,92
Tawanda Chirewa,ZIM,MF,21.0,Wolves,ENG-Premier League,27,0.3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,40
Tay Abed,ISR,MF,21.0,Levante,ESP-La Liga,93,1.03,0,0,0.0,0.0,1,5,1,2,0,0,0.0,0.0,0.0,95,40
Tayfur Bingöl,TUR,"MF,FW",32.0,Kocaelispor,TUR-Super Lig,2121,23.57,5,2,0.21,0.08,18,22,23,15,7,0,0.0,0.0,0.0,90,40
Taylan Antalyalı,TUR,MF,30.0,Rizespor,TUR-Super Lig,1301,14.46,0,0,0.0,0.0,3,8,17,20,4,0,0.0,0.0,0.0,90,40
Taylan Aydın,TUR,DF,19.0,Kasımpaşa,TUR-Super Lig,8,0.09,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40
Taylan Bulut,GER,DF,19.0,Beşiktaş,TUR-Super Lig,445,4.94,0,0,0.0,0.0,1,9,7,1,0,0,0.0,0.0,0.0,90,100
Tayyib Talha Sanuç,TUR,DF,25.0,Gaziantep,TUR-Super Lig,1334,14.82,0,0,0.0,0.0,1,1,14,31,4,0,0.0,0.0,0.0,90,40
Telli Siwe,FRA,DF,20.0,Auxerre,FRA-Ligue 1,315,3.5,0,0,0.0,0.0,1,0,4,5,0,0,0.0,0.0,0.0,85,40
Terem Moffi,NGA,FW,26.0,Nice,FRA-Ligue 1,488,5.42,2,0,0.37,0.0,8,0,1,0,0,0,0.0,0.0,0.0,85,40
Terry Yegbe,GHA,DF,24.0,Metz,FRA-Ligue 1,1963,21.81,0,1,0.0,0.05,2,5,7,22,3,0,0.0,0.0,0.0,85,40
Tete Morente,ESP,MF,28.0,Elche,ESP-La Liga,1788,19.87,1,1,0.05,0.05,3,75,20,14,3,0,0.0,0.0,0.0,95,40
Teun Koopmeiners,NED,"MF,DF",27.0,Juventus,ITA-Serie A,1827,20.3,0,0,0.0,0.0,7,47,13,18,5,0,0.0,0.0,0.0,90,85
Thalisson Kelven,BRA,DF,27.0,Gençlerbirliği,TUR-Super Lig,2526,28.07,2,0,0.07,0.0,6,6,26,34,7,2,0.0,0.0,0.0,90,40
Theo Bair,CAN,FW,25.0,Auxerre,FRA-Ligue 1,10,0.11,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,85,40
Thiago Almada,ARG,"MF,FW",24.0,Atlético Madrid,ESP-La Liga,1311,14.57,3,1,0.21,0.07,10,40,18,9,2,1,0.0,0.0,0.0,95,92
Thiago Borbas,URU,FW,23.0,Oviedo,ESP-La Liga,179,1.99,0,0,0.0,0.0,2,0,1,0,1,0,0.0,0.0,0.0,95,40
Thiago Fernández,ARG,"MF,FW",21.0,Oviedo,ESP-La Liga,817,9.08,0,4,0.0,0.44,5,27,7,5,4,0,0.0,0.0,0.0,95,40
Thiago Pinar,ESP,MF,17.0,Real Madrid,ESP-La Liga,592,6.58,0,2,0.0,0.3,2,0,4,7,2,0,0.0,0.0,0.0,95,100
Thibault De Smet,BEL,DF,27.0,Paris FC,FRA-Ligue 1,1144,12.71,0,1,0.0,0.08,0,26,11,10,6,2,0.0,0.0,0.0,85,40
Thibaut Courtois,BEL,GK,33.0,Real Madrid,ESP-La Liga,2880,32.0,0,0,0.0,0.0,0,0,1,0,1,0,70.0,13.0,28.0,95,100
Thierno Barry,FRA,FW,22.0,Everton,ENG-Premier League,1914,21.27,8,0,0.38,0.0,14,4,4,5,3,0,0.0,0.0,0.0,100,40
Thierry Correia,POR,"DF,MF",26.0,Valencia,ESP-La Liga,1392,15.47,0,2,0.0,0.13,1,42,22,18,5,0,0.0,0.0,0.0,95,40
Thijs Dallinga,NED,FW,24.0,Bologna,ITA-Serie A,811,9.01,2,2,0.22,0.22,5,5,4,1,2,0,0.0,0.0,0.0,90,40
Thilo Kehrer,GER,DF,28.0,Monaco,FRA-Ligue 1,2353,26.14,0,0,0.0,0.0,1,5,39,31,8,2,0.0,0.0,0.0,85,70
Thomas Delaine,FRA,"MF,DF",33.0,Le Havre,FRA-Ligue 1,201,2.23,0,0,0.0,0.0,0,18,0,3,1,0,0.0,0.0,0.0,85,40
Thomas Keller,GER,DF,25.0,Heidenheim,GER-Bundesliga,188,2.09,0,0,0.0,0.0,0,1,1,0,1,0,0.0,0.0,0.0,90,40
Thomas Kristensen,DEN,DF,23.0,Udinese,ITA-Serie A,2472,27.47,3,0,0.11,0.0,6,4,15,27,4,0,0.0,0.0,0.0,90,40
Thomas Lemar,FRA,MF,29.0,Girona,ESP-La Liga,1258,13.98,3,1,0.21,0.07,8,56,15,5,4,0,0.0,0.0,0.0,95,75
Thomas Meunier,BEL,DF,33.0,Lille,FRA-Ligue 1,1909,21.21,2,2,0.09,0.09,5,51,18,17,3,0,0.0,0.0,0.0,85,70
Thomas Partey,GHA,MF,32.0,Villarreal,ESP-La Liga,934,10.38,0,0,0.0,0.0,2,3,6,13,1,0,0.0,0.0,0.0,95,75
Théo De Percin,MTQ,GK,24.0,Auxerre,FRA-Ligue 1,598,6.64,0,0,0.0,0.0,0,0,0,0,0,0,15.0,1.0,9.0,85,40
Théo Le Bris,FRA,MF,22.0,Lorient,FRA-Ligue 1,1893,21.03,2,2,0.1,0.1,7,81,28,17,0,0,0.0,0.0,0.0,85,40
Tiago Djaló,POR,DF,25.0,Beşiktaş,TUR-Super Lig,1464,16.27,2,0,0.12,0.0,3,0,16,27,4,0,0.0,0.0,0.0,90,100
Tiago Gabriel,POR,DF,20.0,Lecce,ITA-Serie A,3219,35.77,2,0,0.06,0.0,4,2,40,46,7,0,0.0,0.0,0.0,90,40
Tiago Gouveia,POR,MF,24.0,Nice,FRA-Ligue 1,532,5.91,0,0,0.0,0.0,4,4,3,9,3,0,0.0,0.0,0.0,85,40
Tiago Santos,POR,DF,23.0,Lille,FRA-Ligue 1,709,7.88,0,0,0.0,0.0,0,32,8,5,0,0,0.0,0.0,0.0,85,70
Tiago Tomás,POR,"MF,FW",23.0,Stuttgart,GER-Bundesliga,1020,11.33,5,3,0.44,0.26,10,12,8,5,4,0,0.0,0.0,0.0,90,75
Tiago Çukur,TUR,"FW,MF",22.0,Karagümrük,TUR-Super Lig,1543,17.14,2,3,0.12,0.18,10,20,6,3,3,0,0.0,0.0,0.0,90,40
Tibet Durakçay,TUR,FW,19.0,Göztepe,TUR-Super Lig,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40
Tidiam Gomis,FRA,FW,18.0,RB Leipzig,GER-Bundesliga,348,3.87,1,0,0.26,0.0,3,6,2,0,1,0,0.0,0.0,0.0,90,90
Tidiane Devernois,FRA,MF,17.0,Auxerre,FRA-Ligue 1,10,0.11,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,85,40
Tijjani Noslin,NED,FW,26.0,Lazio,ITA-Serie A,1148,12.76,4,2,0.31,0.16,13,10,6,3,6,1,0.0,0.0,0.0,90,75
Tijjani Reijnders,NED,MF,27.0,Manchester City,ENG-Premier League,1631,18.12,5,2,0.28,0.11,16,43,4,11,2,0,0.0,0.0,0.0,100,100
Tim Iroegbunam,ENG,MF,22.0,Everton,ENG-Premier League,1487,16.52,0,2,0.0,0.12,1,3,44,22,9,0,0.0,0.0,0.0,100,40
Tim Jabol-Folcarelli,FRA,MF,25.0,Trabzonspor,TUR-Super Lig,2327,25.86,0,3,0.0,0.12,1,2,35,27,4,0,0.0,0.0,0.0,90,90
